14	9603	36
107	5394	4
6560	9333	3
2319	946	33
102	5858	1
8801	5676	20
105	2048	11
868	7886	5
977	1260	10
239	2900	38
104	2511	11
3471	9058	0
7584	1159	8
106	9889	15
286	2172	1
4173	149	6
102	1549	3
12	879	20
167	1761	11
18206	5701	13
1342	3820	4
122	255	3
112	5944	7
206	3545	3
5895	9733	5
240	5824	8
424	2157	18
8	8133	3
1555	9625	3
14	5659	16
113	250	3
6329	6407	19
266	3137	1
104	8836	9
294	9890	2
101	9154	12
539	391	33
102	1548	23
142	9694	23
103	699	34
127	925	2
10938	5395	12
344	7718	18
355	5397	3
103	7812	10
225	8740	2
103	6474	8
132	5461	34
567	6496	10
4060	835	2
4285	6638	6
103	7235	10
14508	9226	4
255	6774	40
13	2804	5
12	1639	2
881	7999	11
288	9215	15
132	9932	2
7944	3038	4
268	7521	3
135	6460	4
101	3172	4
107	1402	4
1168	8344	0
570	1847	7
134	4971	13
344	9603	6
134	8844	22
1860	4696	24
5679	6054	9
12	9091	5
108	1722	8
136	6908	8
147	4493	22
108	4344	2
102	161	31
7537	6205	6
7564	8820	26
395	9860	2
132	5031	28
289	3242	12
154	8698	12
934	2458	7
1285	9155	0
12	747	7
2219	4116	1
1142	4579	17
668	7545	12
4001	8997	18
1610	3539	3
101	4677	12
119	1640	24
16701	6401	11
525	9829	0
769	58	25
101	4226	12
112	7422	27
1618	2341	8
12	621	17
229	5559	6
4538	8829	1
821	7357	1
265	8052	19
2147	6353	12
160	2391	10
249	4503	0
903	4224	1
193	7827	22
111	5201	8
370	6587	4
160	8632	2
2290	2559	3
211	6824	17
101	4454	4
3167	3550	0
104	7375	6
140	8440	0
136	4540	2
102	4265	4
106	6826	2
250	9413	21
10248	11	0
6101	296	7
404	6800	19
8867	4980	15
108	2448	10
2581	6895	3
2542	1452	3
3182	5112	13
705	4902	19
1060	3956	0
104	5773	9
14721	3244	7
9979	6802	4
1611	1057	20
104	3104	4
211	4367	2
165	7651	42
101	2728	3
3836	2414	14
223	4525	26
201	7694	1
102	6479	1
258	6481	10
8163	6483	26
1117	6781	0
102	4718	4
10421	6979	3
7792	7763	13
118	1449	0
770	6772	16
12	171	5
2368	9798	1
1145	7137	3
109	9107	10
1569	5964	11
111	6355	1
945	2476	21
3822	7892	2
543	4250	8
20080	2901	36
483	4025	26
1676	4659	18
351	4429	4
8484	5246	9
3044	4310	9
107	8566	10
109	6591	24
1746	162	22
109	2518	12
3310	9300	19
17	2975	5
990	4893	0
102	1890	8
517	8949	2
4737	7067	18
5715	1664	13
164	1847	12
110	3829	13
917	9790	0
1484	300	11
109	7927	12
4391	1048	1
304	2839	1
8798	8093	12
179	3918	37
11022	134	0
989	7348	29
2354	9062	4
3526	6192	8
117	7584	4
10692	64	0
1018	7912	18
12	4874	1
345	3488	2
557	9554	6
130	1323	1
927	7105	10
1300	3701	13
210	9138	13
211	5384	4
3383	5592	2
1572	1303	6
350	6091	4
114	4901	29
3406	1497	5
10428	8475	17
16882	2034	4
101	7303	7
3818	3883	6
104	4398	5
645	3428	4
3778	265	7
2770	5937	4
101	1999	22
369	7931	12
17020	3657	14
136	5785	24
143	778	12
216	6658	0
161	9150	6
4644	3355	19
350	2606	29
121	6155	11
625	7666	25
21983	1572	22
2261	4080	5
108	8438	4
325	9868	0
1275	8725	14
12131	2417	18
24926	3817	5
269	4284	16
25378	9768	10
17331	3993	20
542	2468	17
101	6620	9
4120	8940	24
168	4625	4
157	494	0
110	8	4
119	6742	11
102	4914	12
532	3914	3
717	3794	0
102	6163	9
123	7457	5
18951	2742	3
1605	9538	0
270	9392	25
770	8686	6
